N,102,1-001,DG,2311,p,CA3 00100,semilunar granule,SGC,Dentate gyrus semilunar granule cell,Semilunar granule,1.1,0,3,,,,E,0,"inner stratum moleculare (611458, 611459, 611460, 611602, 611604, 611606, 611614)",0,1,SGC citations,axons,,"611459, 611462","611459, 611462","611459, 611460, 611462, 611602, 611604, 611608, 611610, 611612, 611614",,,611459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,102,1-001,DG,2311,p,CA3 00100,semilunar granule,SGC,Dentate gyrus semilunar granule cell,Semilunar granule,1.1,0,3,,,,E,0,"inner stratum moleculare (611458, 611459, 611460, 611602, 611604, 611606, 611614)",0,0,SGC citations,dendrites,"611460, 611467, 611602, 611604, 611606, 611614","611459, 611467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,103,1-031,DG,2323,,,quad MC,quad MC,Dentate gyrus mossy cell,,-0.5,0,3,,,,E,0,,0,0,MC citations,axons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,103,1-031,DG,2323,,,quad MC,quad MC,Dentate gyrus mossy cell,,-0.5,0,3,,,,E,0,,0,1,MC citations,dendrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,104,1-032,DG,0123,p,CA3 02222,MC proj,MC proj,Dentate gyrus mossy cell,,-0.5,1,3,,,,E,0,,0,0,MC citations,axons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,104,1-032,DG,0123,p,CA3 02222,MC proj,MC proj,Dentate gyrus mossy cell,,-0.5,1,3,,,,E,0,,0,1,MC citations,dendrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,105,1-002,DG,0103,,,mossy,MC,Dentate gyrus mossy cell,Mossy,1,0,3,,,,E,0,"hilus (375, 1321, 3099, 3600, 3606, 60237, 80125, 611018, 611019, 611047, 611050, 611054, 611055, 611056, 611057, 611058, 611073, 611077, 611078, 611081, 611090, 611296, 611365, 611369, 611378, 611399, 611463, 611465, 611678, 611684, 611810, 611814, 612016, 612106, 612112, 612113, 612278, 612476, 612479, 612488, 612574, 612584, 612586, 612590, 612600, 612601, 612605)",0,0,MC citations,axons,,"375, 429, 3081, 3105, 3600, 3606, 3642, 60237, 170019, 611047, 611052, 611053, 611054, 611055, 611057, 611058, 611059, 611066, 611070, 611076, 611077, 611081, 611082, 611086, 611087, 611088, 611089, 611090, 611092, 611093, 611296, 611379, 611680, 611684, 611814, 611820, 611994, 612015, 612023, 612276, 612586, 612600, 612605",,"3105, 3642, 60237, 80390, 90920, 611024, 611051, 611054, 611055, 611056, 611057, 611058, 611066, 611075, 611077, 611081, 611082, 611083, 611084, 611085, 611089, 611090, 611093, 611296, 611379, 611399, 611684, 611814, 611994, 612015, 612023, 612109, 612276, 612472, 612476, 612477, 612479, 612488, 612600, 612601, 612605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,105,1-002,DG,0103,,,mossy,MC,Dentate gyrus mossy cell,Mossy,1,0,3,,,,E,0,"hilus (375, 1321, 3099, 3600, 3606, 60237, 80125, 611018, 611019, 611047, 611050, 611054, 611055, 611056, 611057, 611058, 611073, 611077, 611078, 611081, 611090, 611296, 611365, 611369, 611378, 611399, 611463, 611465, 611678, 611684, 611810, 611814, 612016, 612106, 612112, 612113, 612278, 612476, 612479, 612488, 612574, 612584, 612586, 612590, 612600, 612601, 612605)",0,0,MC citations,dendrites,,,,"375, 1300, 1342, 1400, 1406, 3093, 3099, 3102, 3633, 3636, 60237, 60372, 80140, 120045, 170018, 611018, 611019, 611022, 611050, 611052, 611054, 611055, 611056, 611057, 611058, 611069, 611073, 611077, 611078, 611081, 611090, 611296, 611366, 611369, 611370, 611378, 611385, 611391, 611399, 611463, 611465, 611678, 611684, 611700, 611814, 611990, 611992, 612022, 612107, 612112, 612113, 612177, 612275, 612476, 612479, 612488, 612576, 612578, 612585, 612587, 612600, 612601, 612605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,106,1-004,DG,3303,,,total molecular layer,TML,Dentate gyrus total molecular 3303 cell,Total molecular,1,0,3,,,,I,0,stratum granulare (3415),1,0,TML 3303 citations,axons,"3415, 611321","3415, 611321",,"3415, 611321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,106,1-004,DG,3303,,,total molecular layer,TML,Dentate gyrus total molecular 3303 cell,Total molecular,1,0,3,,,,I,0,stratum granulare (3415),1,0,TML 3303 citations,dendrites,"3415, 611321","3415, 611321",,"3415, 611321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
